step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
373,0,afternoon,NS,12.298136271348845,0,2,8,0,8,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
373,1,afternoon,NS,12.296752911891657,0,3,5,0,5,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
373,2,afternoon,EW,12.424362674076804,3,0,0,4,4,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
374,0,afternoon,EW,12.426461232629887,2,0,0,5,5,1.0,2,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
374,1,afternoon,EW,12.420679572591363,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
374,2,afternoon,NS,12.2987405621898,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
375,0,afternoon,NS,12.29929242090079,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
375,1,afternoon,NS,12.300673820625487,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
375,2,afternoon,EW,12.422665774098917,2,0,0,6,6,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
376,0,afternoon,EW,12.41917326361979,2,0,0,8,8,1.0,2,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
376,1,afternoon,EW,12.430741168106142,2,0,0,4,4,1.0,2,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
376,2,afternoon,NS,12.301464304718081,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
377,0,afternoon,NS,12.303394310161872,0,2,4,0,4,1.0,2,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
377,1,afternoon,NS,12.099882009994523,0,2,4,0,4,1.0,2,True,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=True | Emergency override: granted immediate green to priority approach."
377,2,afternoon,EW,12.42115645187332,2,0,0,6,6,1.0,2,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
378,0,afternoon,EW,12.434541490496084,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
378,1,afternoon,NS,12.290627302061528,0,4,4,0,4,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
378,2,afternoon,NS,12.305114607290296,0,2,5,0,5,1.0,2,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
379,0,afternoon,NS,12.307734514708308,0,2,5,0,5,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
379,1,afternoon,EW,12.424244238117074,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
379,2,afternoon,EW,12.435812719368053,3,0,0,4,4,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
380,0,afternoon,EW,12.437509369038455,3,0,0,4,4,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
380,1,afternoon,NS,12.309341850044415,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
380,2,afternoon,NS,12.309341850044415,0,3,6,0,6,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
381,0,afternoon,NS,12.31112401639625,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
381,1,afternoon,EW,12.433557702994797,2,0,0,5,5,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
381,2,afternoon,EW,12.433557702994797,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
382,0,afternoon,EW,12.43564655019118,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
382,1,afternoon,NS,12.311718715698756,0,3,5,0,5,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
382,2,afternoon,NS,12.313102813693032,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
383,0,afternoon,NS,12.316488653701109,0,3,7,0,7,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
